挨	ái	ทนทุกข์
元首	yuán shǒu	ประมุขแห่งรัฐ
元素	yuán sù	ธาตุ
元宵节	yuán xiāo jié	เทศกาลโคมไฟ
原告	yuán gào	โจทก์
原理	yuán lǐ	หลักการ
原始	yuán shǐ	ต้นฉบับ
原先	yuán xiān	ต้นฉบับ
园林	yuán lín	สวน
圆满	yuán mǎn	เสร็จสมบูรณ์
源泉	yuán quán	ที่มา
缘故	yuán gù	เหตุผล
约束	yuē shù	ข้อ จำกัด
乐谱	yuè pǔ	แผ่นเพลง
岳母	yuè mǔ	แม่บุญธรรม
孕育	yùn yù	พันธุ์
蕴藏	yùn cáng	บรรจุ
运算	yùn suàn	การคำนวณ
运行	yùn xíng	วิ่ง
酝酿	yùn niàng	การต้มเบียร์
杂技	zá jì	กายกรรม
杂交	zá jiāo	การผสมพันธ์
砸	zá	ชน
咋	zǎ	อย่างไร
栽培	zāi péi	การเพาะปลูก
灾难	zāi nàn	ภัยพิบัติ
宰	zǎi	ฆ่า
再接再厉	zài jiē zài lì	พยายามอย่างไม่ลดละ
在意	zài yì	การดูแล
攒	zǎn	บันทึก
暂且	zàn qiě	ในขณะนี้
赞叹	zàn tàn	ชื่นชม
赞助	zàn zhù	สปอนเซอร์
糟蹋	zāo tà	เสีย
遭受	zāo shòu	ทนทุกข์
遭殃	zāo yāng	ประสบ
遭遇	zāo yù	พบ
噪音	zào yīn	เสียงดัง
造型	zào xíng	การสร้างแบบจำลอง
责怪	zé guài	ตำหนิ
贼	zéi	ขโมย
增添	zēng tiān	เพิ่ม
赠送	zèng sòng	ให้ออกไป
扎	zhā	ผูก
扎实	zhā shi	ของแข็ง
渣	zhā	ตะกรัน
眨	zhǎ	กระพริบตา
诈骗	zhà piàn	ฉ้อโกง
摘要	zhāi yào	สรุป
债券	zhài quàn	พันธบัตร
沾光	zhān guāng	จุ่ม
瞻仰	zhān yǎng	ส่งส่วยให้
展示	zhǎn shì	แสดงออก
展望	zhǎn wàng	outlook
展现	zhǎn xiàn	แสดงออก
崭新	zhǎn xīn	ใหม่เอี่ยม
斩钉截铁	zhǎn dīng jié tiě	อย่างเด็ดขาด
占据	zhàn jù	ครอบครอง
占领	zhàn lǐng	ครอบครอง
战斗	zhàn dòu	การต่อสู้
战略	zhàn lvè	กลยุทธ์
战术	zhàn shù	กลยุทธ์
战役	zhàn yì	การต่อสู้
章程	zhāng chéng	กฎบัตร
帐篷	zhàng peng	เต็นท์
障碍	zhàng ài	อุปสรรค
招标	zhāo biāo	การเสนอราคา
招收	zhāo shōu	รับสมัคร
朝气蓬勃	zhāo qì péng bó	แข็งแรง
着迷	zháo mí	หลงใหล
沼泽	zhǎo zé	บึงหนองทำให้ท่วม
照样	zhào yàng	ยัง
照耀	zhào yào	เปล่งปลั่ง
折腾	zhē teng	โยน
遮挡	zhē dǎng	ปิดฉาก
折	zhé	พับ
折磨	zhé mó	ทรมาน
侦探	zhēn tàn	นักสืบ
斟酌	zhēn zhuó	พิจารณา
珍贵	zhēn guì	ล้ำค่า
珍稀	zhēn xī	หายาก
珍珠	zhēn zhū	มุก
真理	zhēn lǐ	ความจริง
真相	zhēn xiàng	ความจริง
真挚	zhēn zhì	จริงใจ
枕头	zhěn tou	หมอน
振奋	zhèn fèn	ยก
振兴	zhèn xīng	ฟื้นฟู
镇定	zhèn dìng	เงียบสงบ
镇静	zhèn jìng	เงียบสงบ
阵地	zhèn dì	ตำแหน่ง
阵容	zhèn róng	เข้าแถว
震撼	zhèn hàn	ช็อก
震惊	zhèn jīng	ช็อก
争端	zhēng duān	ข้อพิพาท
争夺	zhēng duó	ความขัดแย้ง
争气	zhēng qì	ชนะ
争先恐后	zhēng xiān kǒng hòu	ตะเกียกตะกาย
争议	zhēng yì	ข้อพิพาท
征服	zhēng fú	พิชิต
征收	zhēng shōu	คอลเลกชัน
挣扎	zhēng zhá	การต่อสู้
正月	zhēng yuè	เดือนแรก
蒸发	zhēng fā	การระเหย
整顿	zhěng dùn	แก้ไข
政策	zhèng cè	นโยบาย
政权	zhèng quán	ระบอบการปกครอง
正当	zhèng dāng	เป็นธรรม
正负	zhèng fù	บวกและลบ
正规	zhèng guī	ปกติ
正经	zhèng jing	จริงจัง
正气	zhèng qì	ความชอบธรรม
正义	zhèng yì	ความยุติธรรม
正宗	zhèng zōng	แท้จริง
症状	zhèng zhuàng	อาการ
证实	zhèng shí	ยืนยัน
证书	zhèng shū	ใบรับรอง
郑重	zhèng zhòng	เคร่งขรึม
之际	zhī jì	ในโอกาส
支撑	zhī chēng	สนับสนุน
支出	zhī chū	รายจ่าย
支流	zhī liú	แคว
支配	zhī pèi	ครอบงำ
支援	zhī yuán	สนับสนุน
支柱	zhī zhù	เสา
枝	zhī	สาขา
知觉	zhī jué	การรับรู้
知足常乐	zhī zú cháng lè	ความพึงพอใจ
脂肪	zhī fáng	อ้วน
侄子	zhí zi	หลานชาย
值班	zhí bān	กำลังปฏิบัติหน้าที่
执行	zhí xíng	ดำเนินการ
执着	zhí zhuó	วิริยะ
殖民地	zhí mín dì	อาณานิคม
直播	zhí bō	ออกอากาศสด
直径	zhí jìng	เส้นผ่านศูนย์กลาง
职能	zhí néng	ฟังก์ชัน
职位	zhí wèi	ตำแหน่ง
职务	zhí wù	ตำแหน่ง
指标	zhǐ biāo	ดัชนี
指定	zhǐ dìng	ระบุ
指甲	zhǐ jia	เล็บ
指令	zhǐ lìng	คำแนะนำ
指南针	zhǐ nán zhēn	เข็มทิศ
指示	zhǐ shì	คำแนะนำ
指望	zhǐ wàng	เชื่อใจได้
指责	zhǐ zé	กล่าวโทษ
制裁	zhì cái	การลงโทษ
制服	zhì fú	เครื่องแบบ
制约	zhì yuē	ความยับยั้งชั่งใจ
制止	zhì zhǐ	หยุด
志气	zhì qì	ความทะเยอทะยาน
智力	zhì lì	สติปัญญา
智能	zhì néng	ฉลาด
智商	zhì shāng	ไอคิว
治安	zhì ān	กฎหมายและระเบียบ
治理	zhì lǐ	การกำกับดูแล
滞留	zhì liú	อยู่
致辞	zhì cí	ที่อยู่
致力	zhì lì	มุ่งมั่นที่จะ
致使	zhì shǐ	สาเหตุ
中断	zhōng duàn	ขัดจังหวะ
中立	zhōng lì	เป็นกลาง
中央	zhōng yāng	ศูนย์กลาง
忠诚	zhōng chéng	ความภักดี
忠实	zhōng shí	ซื่อสัตย์
终点	zhōng diǎn	จบ
终究	zhōng jiū	หลังจากนั้น
终身	zhōng shēn	ตลอดชีวิต
终止	zhōng zhǐ	การยุติ
衷心	zhōng xīn	จริงใจ
种子	zhǒng zi	เมล็ดพันธุ์
种族	zhǒng zú	แข่ง
肿瘤	zhǒng liú	เนื้องอก
众所周知	zhòng suǒ zhōu zhī	รู้จักกันดี
种植	zhòng zhí	การปลูก
重心	zhòng xīn	จุดศูนย์ถ่วง
周边	zhōu biān	โดยรอบ
周密	zhōu mì	ระวัง
周年	zhōu nián	วันครบรอบ
周期	zhōu qī	วงจร
周折	zhōu zhé	เทิร์นอะราวด์
周转	zhōu zhuǎn	การหมุนเวียน
州	zhōu	สถานะ
粥	zhōu	ข้าวต้ม
舟	zhōu	เรือ
昼夜	zhòu yè	กลางวันและกลางคืน
皱纹	zhòu wén	ริ้วรอย
株	zhū	ความเครียด
诸位	zhū wèi	ทุกคน
逐年	zhú nián	ปีต่อปี
主办	zhǔ bàn	เจ้าภาพ
主导	zhǔ dǎo	ชั้นนำ
主管	zhǔ guǎn	หัวหน้างาน
主流	zhǔ liú	กระแสหลัก
主权	zhǔ quán	อธิปไตย
主义	zhǔ yì	หลักคำสอน
嘱咐	zhǔ fù	เตือนสติ
拄	zhǔ	บีบ
住宅	zhù zhái	ที่อยู่อาศัย
助理	zhù lǐ	ผู้ช่วยผุ้จัดการ
助手	zhù shǒu	ผู้ช่วย
注射	zhù shè	การฉีด
注视	zhù shì	ดูที่
注释	zhù shì	แสดงความคิดเห็น
注重	zhù zhòng	ให้ความสนใจกับ
著作	zhù zuò	หนังสือ
铸造	zhù zào	การคัดเลือกนักแสดง
驻扎	zhù zhā	ประจำการ
拽	zhuài	ลาก
专长	zhuān cháng	ความเชี่ยวชาญ
专程	zhuān chéng	ทริปพิเศษ
专利	zhuān lì	สิทธิบัตร
专题	zhuān tí	หัวข้อ
砖	zhuān	อิฐ
转达	zhuǎn dá	ถ่ายทอด
转让	zhuǎn ràng	โอน
转移	zhuǎn yí	โอน
转折	zhuǎn zhé	จุดเปลี่ยน
传记	zhuàn jì	ชีวประวัติ
庄稼	zhuāng jià	พืชผล
庄严	zhuāng yán	เคร่งขรึม
庄重	zhuāng zhòng	เคร่งขรึม
装备	zhuāng bèi	อุปกรณ์
装卸	zhuāng xiè	ขนถ่าย
壮观	zhuàng guān	งดงาม
壮丽	zhuàng lì	งดงาม
壮烈	zhuàng liè	กล้าหาญ
幢	zhuàng	อาคาร
追悼	zhuī dào	อนุสรณ์
追究	zhuī jiū	สอบสวน
坠	zhuì	ตก
准则	zhǔn zé	แนวทาง
卓越	zhuó yuè	ความเป็นเลิศ
琢磨	zhuó mó	ไตร่ตรอง
着手	zhuó shǒu	ตั้งค่าประมาณ
着想	zhuó xiǎng	เพื่อประโยชน์ของ
着重	zhuó zhòng	มุ่งเน้นไปที่
姿态	zī tài	ทัศนคติ
滋润	zī rùn	ชุ่มชื้น
滋味	zī wèi	ลิ้มรส
资本	zī běn	เมืองหลวง
资产	zī chǎn	สินทรัพย์
资深	zī shēn	อาวุโส
资助	zī zhù	เงินทุน
子弹	zǐ dàn	bullet
自卑	zì bēi	ความด้อยโอกาส
自发	zì fā	โดยธรรมชาติ
自力更生	zì lì gēng shēng	การพึ่งพาตนเอง
自满	zì mǎn	อิ่มเอมใจ
自主	zì zhǔ	อิสระ
宗教	zōng jiào	ศาสนา
宗旨	zōng zhǐ	วัตถุประสงค์
棕色	zōng sè	สีน้ำตาล
踪迹	zōng jì	ติดตาม
总而言之	zǒng ér yán zhī	สรุปทั้งหมด
总和	zǒng hé	ผลรวม
纵横	zòng héng	แนวตั้งและแนวนอน
走廊	zǒu láng	ทางเดิน
走漏	zǒu lòu	รั่ว
走私	zǒu sī	ลักลอบ
揍	zòu	ตี
租赁	zū lìn	เช่า
足以	zú yǐ	เพียงพอ
祖父	zǔ fù	ปู่
祖国	zǔ guó	มาตุภูมิ
祖先	zǔ xiān	บรรพบุรุษ
阻碍	zǔ ài	ขัดขวาง
阻拦	zǔ lán	หยุด
阻挠	zǔ náo	ขัดขวาง
钻研	zuān yán	เจาะลึก
钻石	zuàn shí	เพชร
嘴唇	zuǐ chún	ริมฝีปาก
罪犯	zuì fàn	อาชญากร
尊严	zūn yán	ศักดิ์ศรี
遵循	zūn xún	ติดตาม
作弊	zuò bì	โกง
作废	zuò fèi	เป็นโมฆะ
作风	zuò fēng	สไตล์
作息	zuò xī	พักผ่อน
做主	zuò zhǔ	เรียกสั้น ๆ
座右铭	zuò yòu míng	ภาษิต
